Dagsetning;Vísitala neysluverðs;Verðbólgumarkmið
01.09.2023;8,00;2,50
01.10.2023;7,90;2,50
01.11.2023;8,00;2,50
01.12.2023;7,70;2,50
01.01.2024;6,70;2,50
01.02.2024;6,60;2,50
01.03.2024;6,80;2,50
01.04.2024;6,00;2,50
01.05.2024;6,20;2,50
01.06.2024;5,80;2,50
01.07.2024;6,30;2,50
01.08.2024;6,00;2,50
01.09.2024;5,40;2,50
01.10.2024;5,10;2,50
01.11.2024;4,80;2,50
01.12.2024;4,80;2,50
01.01.2025;4,60;2,50
01.02.2025;4,20;2,50
01.03.2025;3,80;2,50
01.04.2025;4,20;2,50
01.05.2025;3,80;2,50
01.06.2025;4,20;2,50
01.07.2025;4,00;2,50
01.08.2025;3,80;2,50
01.09.2025;4,10;2,50
01.10.2025;4,30;2,50
01.11.2025;3,70;2,50
01.12.2025;4,50;2,50
01.01.2026;;2,50
